sample_id,model,method,MoRF,LeRF,diff,is_flipped
19,resnet50,GradCAM,0.3447383720893413,0.49999991655349735,0.15526154446415602,False
19,resnet50,IntegratedGradients,0.2634365421021358,0.49999983608722687,0.23656329398509107,False
19,resnet50,LRP,0.1436903306748718,0.4999998033046722,0.3563094726298004,False
19,resnet50,Random,0.2696370279823896,0.283360812754836,0.013723784772446401,False
19,vit_base,Chefer-LRP,0.3123044831678271,0.4420797035098076,0.12977522034198047,False
19,vit_base,GradCAM,0.23962563652312385,0.43869719058275214,0.1990715540596283,False
19,vit_base,IntegratedGradients,0.4225586861371994,0.43151223510503767,0.008953548967838287,False
19,vit_base,Random,0.41167277395725255,0.4056835070252419,-0.005989266932010628,True
20,mobilevit_s,GradCAM,0.18230905706150224,0.45408281981945037,0.2717737627579481,False
20,mobilevit_s,IntegratedGradients,0.025292581778194292,0.4761644005775451,0.45087181879935084,False
20,mobilevit_s,Random,0.09815952493809164,0.11290063797059705,0.014741113032505401,False
20,resnet50,GradCAM,0.27668152453843503,0.49999963343143455,0.22331810889299952,False
20,resnet50,IntegratedGradients,0.22900698264711533,0.49999103248119353,0.2709840498340782,False
20,resnet50,LRP,0.1691937992582098,0.49999973475933074,0.3308059355011209,False
20,resnet50,Random,0.13181928388075906,0.1522300166601781,0.020410732779419044,False
20,vit_base,Chefer-LRP,0.30967151522636416,0.4151645034551621,0.10549298822879793,False
20,vit_base,GradCAM,0.2719050658866763,0.4074305132031441,0.13552544731646782,False
20,vit_base,IntegratedGradients,0.40492641627788545,0.3280944809317589,-0.07683193534612653,True
20,vit_base,Random,0.251391461561434,0.2645218789577484,0.013130417396314431,False
21,mobilevit_s,GradCAM,0.20109298677780318,0.45186313092708585,0.25077014414928267,False
21,mobilevit_s,IntegratedGradients,0.2224596462561749,0.4409032925963402,0.2184436463401653,False
21,mobilevit_s,Random,0.4241852687671781,0.3859859172254801,-0.03819935154169801,True
21,resnet50,GradCAM,0.43661957029253246,0.4999999254941941,0.06338035520166163,False
21,resnet50,IntegratedGradients,0.40328552573919296,0.49999979436397557,0.0967142686247826,False
21,resnet50,LRP,0.39677303433418276,0.499999862909317,0.10322682857513427,False
21,resnet50,Random,0.41820357525721197,0.4998319864273071,0.08162841117009512,False
21,vit_base,Chefer-LRP,0.31248805038630967,0.42420918196439744,0.11172113157808777,False
21,vit_base,GradCAM,0.3884751617908478,0.4245399117469788,0.036064749956131015,False
21,vit_base,IntegratedGradients,0.4060549303889275,0.4340177342295647,0.027962803840637207,False
21,vit_base,Random,0.4051099389791489,0.4040059849619866,-0.0011039540171622897,True
22,mobilevit_s,GradCAM,0.1158806306168117,0.4796515554189682,0.3637709248021565,False
22,mobilevit_s,IntegratedGradients,0.12176716594676694,0.41865806132555006,0.2968908953787831,False
22,mobilevit_s,Random,0.19577622828387575,0.1556420035320116,-0.04013422475186415,True
22,resnet50,GradCAM,0.10148012693971395,0.4985375985503197,0.3970574716106058,False
22,resnet50,IntegratedGradients,0.23066143584437668,0.49827752709388734,0.2676160912495107,False
22,resnet50,LRP,0.11971316765993834,0.498444378376007,0.3787312107160687,False
22,resnet50,Random,0.4489582768408582,0.4247418656945229,-0.024216411146335326,True
22,vit_base,Chefer-LRP,0.0702627081423998,0.44126846343278886,0.37100575529038904,False
22,vit_base,GradCAM,0.12169118467718365,0.4428014889359474,0.32111030425876375,False
22,vit_base,IntegratedGradients,0.35484627000987534,0.4479467928409577,0.09310052283108233,False
22,vit_base,Random,0.43703982681035997,0.4212091773748398,-0.01583064943552015,True
23,mobilevit_s,GradCAM,0.09355188971385359,0.4199683263897896,0.326416436675936,False
23,mobilevit_s,IntegratedGradients,0.14813877758570015,0.20190161615610122,0.05376283857040107,False
23,mobilevit_s,Random,0.03678520044777542,0.11755929421633483,0.08077409376855942,False
23,resnet50,GradCAM,0.13476781425997614,0.182475122064352,0.047707307804375876,False
23,resnet50,IntegratedGradients,0.17900487929582595,0.0877583459019661,-0.09124653339385985,True
23,resnet50,LRP,0.09156709313392639,0.11593420058488846,0.024367107450962072,False
23,resnet50,Random,0.02708266037516296,0.012742852988867527,-0.014339807386295434,True
23,vit_base,Chefer-LRP,0.19631193205714226,0.3921919852495194,0.19588005319237717,False
